AC No,Constituency,District,Total Voters 2019,Votes Cast 2019,TMC 2019,BJP 2019,Other1 Party 2019,Other1 Votes 2019,Other2 Party 2019,Other2 Votes 2019,Other3 Party 2019,Other3 Votes 2019,Total Voters 2021,Votes Cast 2021,TMC 2021,BJP 2021,Other1 Party 2021,Other1 Votes 2021,Other2 Party 2021,Other2 Votes 2021,Other3 Party 2021,Other3 Votes 2021,Total Voters 2024,Votes Cast 2024,TMC 2024,BJP 2024,Other1 Party 2024,Other1 Votes 2024,Other2 Party 2024,Other2 Votes 2024,Other3 Party 2024,Other3 Votes 2024,Total Voters 2026,Votes Cast 2026,Male 2026,Female 2026,Third Gender 2026,Vote Drop/Margin 21-26,Vote Drop/Margin 24-26
1,Mekliganj,Coochbehar,216864,189043,82435,87140,CPIM,8153,INC,3436,IND,2436,226465,198744,99338,84653,AIFB,6853,SUCI,1768.0,IND,1466.0,237869,200242,94842,92024,CPI(M),6115,IND,2715,BSP,1265,224413,217389,116228,108183,2,-1.27,-6.08
2,Mathabhanga,Coochbehar,241785,207363,86188,107063,AIFB,5757,INC,3012,IND,2341,248022,214203,87115,113249,CPI(M),7718,IND,2314.0,KPPU,1289.0,265316,221721,99974,110612,AIFB,4197,IND,2925,INC,1107,248757,239901,129331,119425,1,,
3,Coochbehar Uttar,Coochbehar,272057,231321,91380,118606,AIFB,9910,INC,5664,IND,2329,282988,243916,105868,120483,AIFB,11475,SUCI,1386.0,IND,1379.0,292443,244811,105870,123859,AIFB,6251,IND,3471,INC,2191,263078,251029,136255,126823,0,,
4,Coochbehar Dakshin,Coochbehar,223411,182755,80410,86431,AIFB,7197,INC,3667,IND,1988,233839,195505,86629,91560,AIFB,10246,IND,2720.0,BSP,1419.0,241441,194819,95092,87383,AIFB,5275,IND,2550,INC,1726,213968,202713,109394,104570,4,,-1.02
5,Sitalkuchi,Coochbehar,275720,236981,109771,108541,AIFB,7000,INC,3633,IND,3489,285260,245966,107140,124955,CPI(M),6720,IND,2018.0,KPPU,976.0,304609,257148,129633,113357,IND,4795,AIFB,4147,INC,1132,285548,278495,151129,134416,3,,-1.31
6,Sitai,Coochbehar,277195,224943,123130,88469,INC,4455,AIFB,3068,IND,2394,290568,238578,117908,107796,IND,5033,INC,3964.0,SUCI,1381.0,304238,239208,128189,99812,IND,3622,AIFB,2162,INC,2058,273126,263703,143133,129993,0,-2.48,-0.86
7,Dinhata,Coochbehar,288755,230474,99442,114981,AIFB,6037,INC,4224,IND,2580,299251,243751,115978,116035,AIFB,6069,IND,2757.0,SUCI,1375.0,307585,238083,123072,105058,AIFB,3263,IND,2909,INC,1080,277291,265367,143513,133778,0,,-1.51
8,Natabari,Coochbehar,235277,206515,86018,104543,AIFB,7679,INC,3432,IND,2159,245040,217173,88303,111743,CPI(M),11839,IND,1341.0,SUCI,1186.0,255111,220058,103917,105063,AIFB,4697,IND,2609,INC,1245,239923,230590,123248,116669,6,,
9,Tufanganj,Coochbehar,225957,201377,91290,98776,RSP,5392,INC,1999,IND,1660,234311,209378,83305,114503,INC,5973,IND,2614.0,SUCI,491.0,245696,213470,97807,104302,RSP,4316,IND,2476,BSP,778,237667,228659,122055,115611,1,,
10,Kumargram,Alipurduar,262525,222681,87210,116023,RSP,9343,INC,4623,IND,2134,272924,232489,100973,111974,RSP,11253,IND,1781.0,KPPU,1651.0,282343,229473,102753,110394,RSP,6514,IND,3641,BSP,997,259496,244523,134118,125375,3,,
11,Kalchini,Alipurduar,235753,190453,64045,111477,INC,4860,RSP,4194,IND,2175,247425,195815,74528,103104,IND,7455,INC,5482.0,LJP,1164.0,254731,189974,81526,96391,IND,3419,RSP,2954,BSP,907,221457,201238,109713,111742,2,,
12,Alipurduars,Alipurduar,249960,211016,77859,114879,RSP,8455,INC,4773,IND,1890,260652,222732,91326,107333,INC,15651,IND,5330.0,SUCI,1111.0,268670,216822,86257,114821,RSP,7266,IND,2917,BSP,873,244331,229720,123903,120423,5,,
13,Falakata,Alipurduar,244579,209134,82210,109280,RSP,10248,INC,2237,IND,1855,254554,220500,99003,102993,CPI(M),10772,IND,3323.0,SWJP,1377.0,262383,218295,97006,105972,RSP,6704,IND,3056,BSP,820,245264,234080,126099,119160,5,,
14,Madarihat,Alipurduar,203374,158752,49650,93488,RSP,5586,INC,3396,IND,2597,212651,166920,61033,90718,RSP,7072,BSP,1696.0,BTP,1540.0,220466,162432,68858,79921,RSP,4043,IND,3509,BSP,926,193958,175726,96262,97695,1,,
