Phase,District Name,AC No.,AC Name,Male,Female,Third Gender,Total,ac_name,vtr,Total Votes
1,COOCHBEHAR,1,MEKLIGANJ (SC),116228,108183,2,224413,Mekliganj,96.87%,217389
1,COOCHBEHAR,2,MATHABHANGA (SC),129331,119425,1,248757,Mathabhanga,96.44%,239901
1,COOCHBEHAR,3,COOCHBEHAR UTTAR (SC),136255,126823,0,263078,Coochbehar Uttar,95.42%,251029
1,COOCHBEHAR,4,COOCHBEHAR DAKSHIN,109394,104570,4,213968,Coochbehar Dakshin,94.74%,202713
1,COOCHBEHAR,5,SITALKUCHI (SC),151129,134416,3,285548,Sitalkuchi,97.53%,278495
1,COOCHBEHAR,6,SITAI (SC),143133,129993,0,273126,Sitai,96.55%,263703
1,COOCHBEHAR,7,DINHATA,143513,133778,0,277291,Dinhata,95.70%,265367
1,COOCHBEHAR,8,NATABARI,123248,116669,6,239923,Natabari,96.11%,230590
1,COOCHBEHAR,9,TUFANGANJ,122055,115611,1,237667,Tufanganj,96.21%,228659
1,ALIPURDUAR,10,KUMARGRAM (ST),134118,125375,3,259496,Kumargram,94.23%,244523
1,ALIPURDUAR,11,KALCHINI (ST),109713,111742,2,221457,Kalchini,90.87%,201238
1,ALIPURDUAR,12,ALIPURDUARS,123903,120423,5,244331,Alipurduars,94.02%,229720
1,ALIPURDUAR,13,FALAKATA (SC),126099,119160,5,245264,Falakata,95.44%,234080
1,ALIPURDUAR,14,MADARIHAT (ST),96262,97695,1,193958,Madarihat,90.60%,175726
1,JALPAIGURI,15,DHUPGURI (SC),133196,124925,6,258127,Dhupguri,95.53%,246589
1,JALPAIGURI,16,MAYNAGURI (SC),133769,124776,0,258545,Maynaguri,96.40%,249237
1,JALPAIGURI,17,JALPAIGURI (SC),126563,123816,2,250381,Jalpaiguri,93.45%,233981
1,JALPAIGURI,18,RAJGANJ (SC),119299,111495,1,230795,Rajganj,96.56%,222856
1,JALPAIGURI,19,DABGRAM-PHULBARI,133222,131154,4,264380,Dabgram-fulbari,94.62%,250156
1,JALPAIGURI,20,MAL (ST),118926,118526,0,237452,Mal,94.17%,223609
1,JALPAIGURI,21,NAGRAKATA (ST),107824,112292,2,220118,Nagrakata,92.30%,203169
1,KALIMPONG,22,KALIMPONG,100846,100773,0,201619,Kalimpong,83.04%,167424
1,DARJEELING,23,DARJEELING,103033,104681,2,207716,Darjeeling,82.27%,170888
1,DARJEELING,24,KURSEONG,106014,110135,3,216152,Kurseong,83.14%,179709
1,DARJEELING,25,MATIGARA-NAXALBARI (SC),133571,134906,3,268480,Matigara-naxalbari,92.69%,248854
1,DARJEELING,26,SILIGURI,99920,100844,15,200779,Siliguri,90.63%,181966
1,DARJEELING,27,PHANSIDEWA (ST),109526,107769,3,217298,Phansidewa,95.08%,206607
1,UTTAR DINAJPUR,28,CHOPRA,120091,99140,5,219236,Chopra,96.02%,210510
1,UTTAR DINAJPUR,29,ISLAMPUR,107891,94318,8,202217,Islampur,91.41%,184847
1,UTTAR DINAJPUR,30,GOALPOKHAR,107310,92154,4,199468,Goalpokhar,91.67%,182852
1,UTTAR DINAJPUR,31,CHAKULIA,114782,101311,2,216095,Chakulia,91.84%,198462
1,UTTAR DINAJPUR,32,KARANDIGHI,121620,109975,4,231599,Karandighi,94.61%,219116
1,UTTAR DINAJPUR,33,HEMTABAD (SC),130939,115587,4,246530,Hemtabad,96.40%,237655
1,UTTAR DINAJPUR,34,KALIAGANJ (SC),140401,127867,13,268281,Kaliaganj,95.42%,255994
1,UTTAR DINAJPUR,35,RAIGANJ,87504,86601,21,174126,Raiganj,92.97%,161885
1,UTTAR DINAJPUR,36,ITAHAR,110488,100929,5,211422,Itahar,95.89%,202733
1,DAKSHIN DINAJPUR,37,KUSHMUNDI (SC),108310,97553,4,205867,Kushmandi,96.52%,198703
1,DAKSHIN DINAJPUR,38,KUMARGANJ,93373,87008,4,180385,Kumarganj,95.88%,172953
1,DAKSHIN DINAJPUR,39,BALURGHAT,84215,82683,14,166912,Balurghat,93.30%,155729
1,DAKSHIN DINAJPUR,40,TAPAN (ST),99485,95426,3,194914,Tapan,95.10%,185363
1,DAKSHIN DINAJPUR,41,GANGARAMPUR (SC),103818,96318,10,200146,Gangarampur,95.49%,191119
1,DAKSHIN DINAJPUR,42,HARIRAMPUR,108885,102402,8,211295,Harirampur,96.00%,202843
1,MALDA,43,HABIBPUR (ST),120886,117339,5,238230,Habibpur,94.89%,226056
1,MALDA,44,GAZOLE (SC),129859,125223,3,255085,Gazole,95.25%,242968
1,MALDA,45,CHANCHAL,126863,117560,5,244428,Chanchal,95.54%,233527
1,MALDA,46,HARISCHANDRA-PUR,126029,112818,3,238850,Harischandrapur,94.74%,226286
1,MALDA,47,MALATIPUR,113524,99158,9,212691,Malatipur,94.73%,201482
1,MALDA,48,RATUA,130127,116413,7,246547,Ratua,93.94%,231606
1,MALDA,49,MANICKCHAK,124739,111024,2,235765,Manikchak,94.82%,223552
1,MALDA,50,MALDAHA (SC),117002,114341,5,231348,Maldaha,94.62%,218901
1,MALDA,51,ENGLISH BAZAR,123959,125171,7,249137,English Bazar,92.68%,230900
1,MALDA,52,MOTHABARI,86660,82681,6,169347,Mothabari,95.06%,160981
1,MALDA,53,SUJAPUR,120729,115707,7,236443,Sujapur,95.69%,226252
1,MALDA,54,BAISHNABNAGAR,121683,112174,8,233865,Baisnabnagar,95.70%,223809
1,MURSHIDABAD,55,FARAKKA,93170,88485,4,181659,Farakka,96.01%,174411
1,MURSHIDABAD,56,SAMSERGANJ,78004,83430,1,161435,Samserganj,96.04%,155042
1,MURSHIDABAD,57,SUTI,121353,107854,1,229208,Suti,96.07%,220200
1,MURSHIDABAD,58,JANGIPUR,113009,107846,4,220859,Jangipur,95.72%,211406
1,MURSHIDABAD,59,RAGHUNATHGANJ,103911,96541,0,200452,Raghunathganj,96.90%,194238
1,MURSHIDABAD,60,SAGARDIGHI,113465,103508,4,216977,Sagardighi,95.35%,206888
1,MURSHIDABAD,61,LALGOLA,94311,91868,3,186182,Lalgola,96.44%,179554
1,MURSHIDABAD,62,BHAGABAN GOLA,114659,109958,1,224618,Bhagawangola,96.95%,217767
1,MURSHIDABAD,63,RANINAGAR,126493,117894,4,244391,Raninagar,96.95%,236937
1,MURSHIDABAD,64,MURSHIDABAD,126372,121896,1,248269,Murshidabad,95.30%,236600
1,MURSHIDABAD,65,NABAGRAM (SC),124325,118697,3,243025,Nabagram,90.73%,220497
1,MURSHIDABAD,66,KHARGRAM (SC),120073,110389,2,230464,Khargram,88.32%,203546
1,MURSHIDABAD,67,BURWAN (SC),111612,102386,5,214003,Burwan,87.80%,187895
1,MURSHIDABAD,68,KANDI,120346,112675,3,233024,Kandi,84.94%,197931
1,MURSHIDABAD,69,BHARATPUR,124672,114508,4,239184,Bharatpur,89.17%,213280
1,MURSHIDABAD,70,REJINAGAR,133771,122490,6,256267,Rejinagar,92.91%,238098
1,MURSHIDABAD,71,BELDANGA,126928,117052,4,243984,Beldanga,93.05%,227027
1,MURSHIDABAD,72,BAHARAMPUR,118741,122079,10,240830,Baharampur,91.72%,220889
1,MURSHIDABAD,73,HARIHARPARA,126586,118890,8,245484,Hariharpara,95.61%,234707
1,MURSHIDABAD,74,NOWDA,122837,112898,2,235737,Nowda,93.66%,220791
1,MURSHIDABAD,75,DOMKAL,137988,129383,3,267374,Domkal,96.43%,257829
1,MURSHIDABAD,76,JALANGI,136138,126647,2,262787,Jalangi,96.03%,252354
1,PURBO MEDINIPUR,203,TAMLUK,139883,134618,7,274508,Tamluk,92.63%,254277
1,PURBO MEDINIPUR,204,PANSKURA PURBA,122702,115811,6,238519,Panskura Purba,92.03%,219509
1,PURBO MEDINIPUR,205,PANSKURA PASCHIM,143192,135551,1,278744,Panskura Paschim,91.91%,256194
1,PURBO MEDINIPUR,206,ΜΟΥΝΑ,137302,127667,2,264971,Moyna,91.88%,243455
1,PURBO MEDINIPUR,207,NANDAKUMAR,136102,128332,3,264437,Nandakumar,93.48%,247196
1,PURBO MEDINIPUR,208,MAHISADAL,129878,123643,2,253523,Mahisadal,93.09%,236005
1,PURBO MEDINIPUR,209,HALDIA (SC),129419,122487,13,251919,Haldia,94.25%,237434
1,PURBO MEDINIPUR,210,NANDIGRAM,138934,127480,1,266415,Nandigram,93.98%,250377
1,PURBO MEDINIPUR,211,CHANDIPUR,132659,123265,0,255924,Chandipur,93.54%,239391
1,PURBO MEDINIPUR,212,PATASHPUR,128328,118708,1,247037,Patashpur,92.98%,229695
1,PURBO MEDINIPUR,213,ΚΑΝTHI UTTAR,136573,127029,0,263602,Kanthi Uttar,93.67%,246916
1,PURBO MEDINIPUR,214,BHAGABANPUR,137073,126700,2,263775,Bhagabanpur,93.08%,245522
1,PURBO MEDINIPUR,215,KHEJURI (SC),129500,118476,0,247976,Khejuri,94.35%,233965
1,PURBO MEDINIPUR,216,ΚΑΝTHI DAKSHIN,115841,112113,0,227954,Kanthi Dakshin,91.81%,209285
1,PURBO MEDINIPUR,217,RAMNAGAR,137559,131690,3,269252,Ramnagar,90.02%,242381
1,PURBO MEDINIPUR,218,EGRA,150273,141325,0,291598,Egra,91.49%,266783
1,PASCHIM MEDINIPUR,219,DANTAN,122382,113786,0,236168,Dantan,91.89%,217015
