District,Hindu (%),Muslim (%),Christian (%),Others (%)
Murshidabad,33.21,66.27,0.28,0.24
Malda,47.99,51.27,0.33,0.41
Uttar Dinajpur,49.31,49.92,0.56,0.21
Birbhum,62.29,37.06,0.31,0.34
South 24 Parganas,63.17,35.57,0.81,0.45
Nadia,72.15,26.76,0.65,0.44
North 24 Parganas,73.45,25.82,0.17,0.56
Howrah,72.90,26.20,0.19,0.71
Kolkata,76.51,20.60,0.88,2.01
Dakshin Dinajpur,73.55,24.63,1.48,0.34
Koch Bihar,74.06,25.54,0.13,0.27
Barddhaman,77.85,20.34,0.28,1.53
Hooghly,82.89,15.82,0.13,1.16
Jalpaiguri,81.51,11.51,3.65,3.33
Paschim Medinipur,86.63,10.49,0.40,2.48
Purba Medinipur,85.24,14.59,0.05,0.12
Bankura,84.34,8.08,0.11,7.47
Purulia,80.99,7.76,0.30,10.95
Darjeeling,74.00,5.69,7.68,12.63
