Constituency No.,Constituency Name,Candidate Name,Party,Votes,Status,Margin
1,MEKLIGANJ,DADHIRAM RAY,Bharatiya Janata Party,119109,won,+ 29584
1,MEKLIGANJ,ADHIKARY PARESH CHANDRA,All India Trinamool Congress,89525,lost,-29584
1,MEKLIGANJ,KAMAL KUMAR ROY,All India Forward Bloc,2386,lost,-116723
1,MEKLIGANJ,HITEN BARMAN,Socialist Unity Centre Of India (COMMUNIST),1392,lost,-117717
1,MEKLIGANJ,ILA RANI ROY,Indian National Congress,1288,lost,-117821
1,MEKLIGANJ,HIRANMAY DEB SINGHA,Independent,979,lost,-118130
1,MEKLIGANJ,PURNENDU ROY,Independent,900,lost,-118209
1,MEKLIGANJ,GOLAPI ROY,Independent,427,lost,-118682
1,MEKLIGANJ,MANOJ KUMAR RAY,Independent,278,lost,-118831
1,MEKLIGANJ,KRISHNA BARMAN,Independent,231,lost,-118878
1,MEKLIGANJ,KIRTTIRAM BARMAN,Independent,218,lost,-118891
1,MEKLIGANJ,NOTA,None of the Above,2126,,-116983
2,MATHABHANGA,NISHITH PRAMANIK,Bharatiya Janata Party,143340,won,+ 57090
2,MATHABHANGA,DR. SABLU BARMAN,All India Trinamool Congress,86250,lost,-57090
2,MATHABHANGA,KHAGEN CHANDRA BARMAN,Communist Party of India (Marxist),4030,lost,-139310
2,MATHABHANGA,DR. HAREKRISHNA SARKAR,Independent,1168,lost,-142172
2,MATHABHANGA,KSHITENDRA NATH BARMAN,Indian National Congress,1118,lost,-142222
2,MATHABHANGA,MRITUNJOY BISWAS,Bahujan Samaj Party,1097,lost,-142243
2,MATHABHANGA,MIHIR SARKAR,Independent,883,lost,-142457
2,MATHABHANGA,PREMANANDA BARMAN,Kamatapur People's Party (United),755,lost,-142585
2,MATHABHANGA,PROVAKAR ROY,Independent,684,lost,-142656
2,MATHABHANGA,HARADHAN ROY,Independent,465,lost,-142875
2,MATHABHANGA,BIKASH BARMAN,Socialist Unity Centre Of India (COMMUNIST),337,lost,-143003
2,MATHABHANGA,KANGSA RAJ BARMAN,Independent,325,lost,-143015
2,MATHABHANGA,GOUTAM BARMAN,Independent,288,lost,-143052
2,MATHABHANGA,SUBODH BARMAN,Amra Bangalee,192,lost,-143148
2,MATHABHANGA,NOTA,None of the Above,913,,-142427
3,COOCHBEHAR UTTAR,SUKUMAR RAY,Bharatiya Janata Party,155327,won,+ 70384
3,COOCHBEHAR UTTAR,PARTHA PRATIM RAY,All India Trinamool Congress,84943,lost,-70384
3,COOCHBEHAR UTTAR,PRANAY KARJEE,Communist Party of India (Marxist),5293,lost,-150034
3,COOCHBEHAR UTTAR,PARTHA PRATIM ISHOR,Indian National Congress,1939,lost,-153388
3,COOCHBEHAR UTTAR,PANCHANAN ROY,Independent,961,lost,-154366
3,COOCHBEHAR UTTAR,SUKUMAR ROY,Independent,895,lost,-154432
3,COOCHBEHAR UTTAR,UPENDRA NATH BASUNIA,Amra Bangalee,874,lost,-154453
3,COOCHBEHAR UTTAR,SUKUMAR ROY,Independent,805,lost,-154522
3,COOCHBEHAR UTTAR,NARESH CHANDRA ROY,Independent,403,lost,-154924
3,COOCHBEHAR UTTAR,SWAPAN KUMAR BARMAN,Socialist Unity Centre Of India (COMMUNIST),388,lost,-154939
3,COOCHBEHAR UTTAR,UTTAM BARMAN,Independent,307,lost,-155020
3,COOCHBEHAR UTTAR,NIRMAL KUMAR ROY,Kamatapur People's Party (United),221,lost,-155106
3,COOCHBEHAR UTTAR,NOTA,None of the Above,1819,,-153508
4,COOCHBEHAR DAKSHIN,RATHINDRA BOSE,Bharatiya Janata Party,108482,won,+ 23284
4,COOCHBEHAR DAKSHIN,AVIJIT DE BHOWMIK,All India Trinamool Congress,85198,lost,-23284
4,COOCHBEHAR DAKSHIN,NAZMUL ALOM SARKAR,All India Forward Bloc,3137,lost,-105345
4,COOCHBEHAR DAKSHIN,KHOKAN MIAH,Indian National Congress,2971,lost,-105511
4,COOCHBEHAR DAKSHIN,SURATH KUMAR HOM ROY,Independent,575,lost,-107907
4,COOCHBEHAR DAKSHIN,BHASKAR JYOTI DUTTA,Bahujan Samaj Party,561,lost,-107921
4,COOCHBEHAR DAKSHIN,RANJIT SARKAR,Independent,502,lost,-107980
4,COOCHBEHAR DAKSHIN,BIDHAN BARMA,Kamatapur People's Party (United),471,lost,-108011
4,COOCHBEHAR DAKSHIN,SUMAN PANDIT,Socialist Unity Centre Of India (COMMUNIST),400,lost,-108082
4,COOCHBEHAR DAKSHIN,SANTOSH BARMAN,Independent,336,lost,-108146
4,COOCHBEHAR DAKSHIN,ANANTA BARMAN,Independent,259,lost,-108223
4,COOCHBEHAR DAKSHIN,KOUSHIK BHATTACHARJEE,Independent,245,lost,-108237
4,COOCHBEHAR DAKSHIN,RASHIDUL ALAM,Independent,196,lost,-108286
4,COOCHBEHAR DAKSHIN,HARIDAS MODAK,Amra Bangalee,185,lost,-108297
4,COOCHBEHAR DAKSHIN,ABHIJIT DEY,Independent,125,lost,-108357
4,COOCHBEHAR DAKSHIN,NOTA,None of the Above,1770,,-106712
5,SITALKUCHI,SABITRI BARMAN,Bharatiya Janata Party,144367,won,+ 25278
5,SITALKUCHI,HARIHAR DAS,All India Trinamool Congress,119089,lost,-25278
5,SITALKUCHI,NAMADIPTI ROY ADHIKARY,Communist Party of India (Marxist),3979,lost,-140388
5,SITALKUCHI,SUKAMAL BARMAN,Indian National Congress,2522,lost,-141845
5,SITALKUCHI,PARESH CHANDRA MANTA,Independent,1684,lost,-142683
5,SITALKUCHI,MANIK CHANDRA BARMAN,Kamatapur People's Party (United),1506,lost,-142861
5,SITALKUCHI,KAMAL BARMAN,Amra Bangalee,1352,lost,-143015
5,SITALKUCHI,GAJENDRA  BARMAN,Independent,1199,lost,-143168
5,SITALKUCHI,SHYAMSUNDAR RAY,Bahujan Samaj Party,945,lost,-143422
5,SITALKUCHI,JAGADISH ADHIKARI,Socialist Unity Centre Of India (COMMUNIST),773,lost,-143594
5,SITALKUCHI,HAREKRISHNA SARKAR,Independent,752,lost,-143615
5,SITALKUCHI,NOTA,None of the Above,1654,,-142713
6,SITAI,SANGITA ROY,All India Trinamool Congress,128188,won,+ 2721
6,SITAI,ASHUTOSH BARMA,Bharatiya Janata Party,125467,lost,-2721
6,SITAI,RABIN ROY,Indian National Congress,3262,lost,-124926
6,SITAI,ARUN KUMAR BARMA,All India Forward Bloc,2105,lost,-126083
6,SITAI,BINAPANI RAY,Socialist Unity Centre Of India (COMMUNIST),1809,lost,-126379
6,SITAI,MANIK ROY,Aam Janata Unnayan party,1384,lost,-126804
6,SITAI,SUNIL CHANDRA MAHANTA,Independent,1241,lost,-126947
6,SITAI,GOUTAM ROY,Independent,539,lost,-127649
6,SITAI,NOTA,None of the Above,1324,,-126864
7,DINHATA,AJAY RAY,Bharatiya Janata Party,138255,won,+ 17447
7,DINHATA,UDAYAN GUHA,All India Trinamool Congress,120808,lost,-17447
7,DINHATA,BIKAS MANDAL,All India Forward Bloc,3042,lost,-135213
7,DINHATA,HARIHAR ROY SINGHA,Indian National Congress,1608,lost,-136647
7,DINHATA,PRABIR KUMAR ROY SARKAR,Independent,1166,lost,-137089
7,DINHATA,PAMPA RAY BARMAN,Independent,506,lost,-137749
7,DINHATA,AJIJUL HOQUE,Socialist Unity Centre Of India (COMMUNIST),432,lost,-137823
7,DINHATA,ANIMESH BARMAN,Independent,294,lost,-137961
7,DINHATA,NOTA,None of the Above,1814,,-136441
8,NATABARI,GIRIJA SHANKAR RAY,Bharatiya Janata Party,126911,won,+ 34613
8,NATABARI,SAILENDRA NATH BARMA,All India Trinamool Congress,92298,lost,-34613
8,NATABARI,AKIK HASSAN,Communist Party of India (Marxist),6606,lost,-120305
8,NATABARI,BISWAJIT SARKAR,Indian National Congress,2516,lost,-124395
8,NATABARI,ABDUS SALAM,Socialist Unity Centre Of India (COMMUNIST),976,lost,-125935
8,NATABARI,SAHIDUL HOSSAIN,Independent,814,lost,-126097
8,NATABARI,MRINAL KANTI SAHA,Independent,677,lost,-126234
8,NATABARI,MD. SAKOWAT ALI,Aam Janata Unnayan party,431,lost,-126480
8,NATABARI,RAGHUNATH BISWAS,Independent,374,lost,-126537
8,NATABARI,NOTA,None of the Above,1113,,-125798
9,TUFANGANJ,MALATI RAVA ROY,Bharatiya Janata Party,122525,won,+ 26457
9,TUFANGANJ,SHIBSANKAR PAUL,All India Trinamool Congress,96068,lost,-26457
9,TUFANGANJ,DHANANJOY RAVA,Communist Party of India (Marxist),4863,lost,-117662
9,TUFANGANJ,DEBENDRANATH BARMA,Indian National Congress,1658,lost,-120867
9,TUFANGANJ,BIBHAS DAKUA,Independent,974,lost,-121551
9,TUFANGANJ,KABIR HOSSAIN,Aam Janata Unnayan party,970,lost,-121555
9,TUFANGANJ,PRAFULLA PRODHAN,Independent,822,lost,-121703
9,TUFANGANJ,PRAMATH SARKAR,Independent,631,lost,-121894
9,TUFANGANJ,MAHESWAR GAYEN,Kamatapur People's Party (United),497,lost,-122028
9,TUFANGANJ,BHOLA SAHA,Socialist Unity Centre Of India (COMMUNIST),400,lost,-122125
9,TUFANGANJ,NOTA,None of the Above,1421,,-121104
10,KUMARGRAM,MANOJ KUMAR ORAON,Bharatiya Janata Party,143044,won,+ 52877
10,KUMARGRAM,RAJEEV TIRKEY,All India Trinamool Congress,90167,lost,-52877
10,KUMARGRAM,KISHOR MINJ,Revolutionary Socialist Party,4111,lost,-138933
10,KUMARGRAM,SUDHAM LAMA,Indian National Congress,2261,lost,-140783
10,KUMARGRAM,BIKASH ORAON,Independent,1791,lost,-141253
10,KUMARGRAM,PAULUS TUDU,Independent,873,lost,-142171
10,KUMARGRAM,UNILISH MOCHARI,Aam Janata Unnayan party,461,lost,-142583
10,KUMARGRAM,ABKARI KUJUR,Independent,423,lost,-142621
10,KUMARGRAM,RAM ORAON,Socialist Unity Centre Of India (COMMUNIST),279,lost,-142765
10,KUMARGRAM,AMIT CHOMPRAMARI,Independent,248,lost,-142796
10,KUMARGRAM,SUSHIL MINZ,Gana Suraksha Party,245,lost,-142799
10,KUMARGRAM,NOTA,None of the Above,2924,,-140120
11,KALCHINI,BISHAL LAMA,Bharatiya Janata Party,114759,won,+ 37843
11,KALCHINI,BIRENDRA BARA (ORAON),All India Trinamool Congress,76916,lost,-37843
11,KALCHINI,ANJAN CHIK BARAIK,Indian National Congress,3186,lost,-111573
11,KALCHINI,PASSANG SHERPA,Revolutionary Socialist Party,2405,lost,-112354
11,KALCHINI,ARJUN INDWAR,Mulnibasi Party of India,1227,lost,-113532
11,KALCHINI,RANAJIT RABHA,Independent,1227,lost,-113532
11,KALCHINI,NARAYAN LAMA,Independent,1092,lost,-113667
11,KALCHINI,NOTA,None of the Above,1795,,-112964
12,ALIPURDUARS,PARITOSH DAS,Bharatiya Janata Party,143242,won,+ 70420
12,ALIPURDUARS,SUMAN KANJILAL,All India Trinamool Congress,72822,lost,-70420
12,ALIPURDUARS,SHYAMAL ROY,Communist Party of India (Marxist),7301,lost,-135941
12,ALIPURDUARS,MRINMOY SARKAR (PAPAN),Indian National Congress,2644,lost,-140598
12,ALIPURDUARS,ABINASH DAS,Independent,954,lost,-142288
12,ALIPURDUARS,BHUPESH DAS,Independent,923,lost,-142319
12,ALIPURDUARS,ABDUL LATIF CHOUDHURY,Aam Janata Unnayan party,647,lost,-142595
12,ALIPURDUARS,ABHIJIT SAHA,Independent,531,lost,-142711
12,ALIPURDUARS,PIJUSH KANTI SARMA,Socialist Unity Centre Of India (COMMUNIST),408,lost,-142834
12,ALIPURDUARS,MANIK BARMAN,Kamatapur People's Party (United),374,lost,-142868
12,ALIPURDUARS,NOTA,None of the Above,2620,,-140622
13,FALAKATA,DIPAK BARMAN,Bharatiya Janata Party,134370,won,+ 45999
13,FALAKATA,SUBHASH CHANDRA ROY,All India Trinamool Congress,88371,lost,-45999
13,FALAKATA,KAMAL KISHOR ROY,Communist Party of India (Marxist),6133,lost,-128237
13,FALAKATA,AKSHOY KUMAR BARMAN,Indian National Congress,1855,lost,-132515
13,FALAKATA,UKIL CHANDRA BHUIMALI,Socialist Unity Centre Of India (COMMUNIST),1118,lost,-133252
13,FALAKATA,DIPANKAR BARMAN,Kamatapur People's Party (United),1047,lost,-133323
13,FALAKATA,TARUN BARMAN,Independent,1033,lost,-133337
13,FALAKATA,DILIP BARMAN,Independent,594,lost,-133776
13,FALAKATA,NOTA,None of the Above,1432,,-132938
14,MADARIHAT,LAXUMAN LIMBU,Bharatiya Janata Party,102488,won,+ 40910
14,MADARIHAT,JAYPRAKASH TOPPO,All India Trinamool Congress,61578,lost,-40910
14,MADARIHAT,SUBHASH LOHAR,Revolutionary Socialist Party,3129,lost,-99359
14,MADARIHAT,JOY PRAFFUL LAKRA,Indian National Congress,3029,lost,-99459
14,MADARIHAT,ISHAK RABHA,Bahujan Samaj Party,1406,lost,-101082
14,MADARIHAT,SARADIP NARJEENARY,Independent,1226,lost,-101262
14,MADARIHAT,BABITA BARA TIRKEY,Gana Suraksha Party,888,lost,-101600
14,MADARIHAT,HAREN RABHA,Mulnibasi Party of India,638,lost,-101850
14,MADARIHAT,SUDHIST BARAIK,Socialist Unity Centre Of India (COMMUNIST),491,lost,-101997
14,MADARIHAT,NOTA,None of the Above,1880,,-100608
15,DHUPGURI,NARESH ROY,Bharatiya Janata Party,134798,won,+ 38550
15,DHUPGURI,NIRMAL CHANDRA ROY,All India Trinamool Congress,96248,lost,-38550
15,DHUPGURI,NIRANJAN ROY,Communist Party of India (Marxist),7625,lost,-127173
15,DHUPGURI,TAPAS CHANDRA SARKAR,Independent,1548,lost,-133250
